Comments,W [lb],Xcg [mm],Ycg [mm],Zcg [mm],Ixx [lb*mm2],Iyy [lb*mm2],Izz [lb*mm2],Ixy [lb*mm2],Ixz [lb*mm2],Iyz [lb*mm2]
Feed6,176.6675079,3.36028E-10,11206.04116,-254.2632065,10562499.49,30804853.39,40885541.61,1.13441E-05,-4.40805E-06,696763.4073
Feed5,176.6679677,1.20441E-12,11151.74205,-174.6691892,10797174.2,48312042.63,58706168.57,-5.17897E-08,1.26491E-08,1113024.146
Feed4,176.6671813,-3.40999E-13,11151.22742,-98.86910594,10773643.14,48308708.1,58679380.48,-7.26756E-08,-2.94524E-10,1110613.478
Feed3,176.6670157,-6.93205E-13,11150.7214,-22.97396994,10750423.15,48299517.97,58647060.38,-2.95258E-09,-5.15672E-09,1108176.25
Feed2,176.66676,-3.69384E-13,11150.21472,53.01578052,10727198.55,48290270.1,58614676.2,-4.26989E-08,-4.22694E-09,1105738.439
Feed1,176.6635675,-1.49684E-08,11064.81842,127.1534015,9500629.393,54372375.61,63497294.03,0.005024023,0.008539316,530551.2701
WG30,288.2285661,0,11111.62324,-126.9225265,33234715.66,576161759.4,608326796.8,0,0,1174660.049
WG29,288.3026796,0,11013.4211,-64.73700385,64056129.65,864890010.6,927441065.5,0,0,3009489.344
WG28,288.288294,0,11020.80823,-23.55184357,91555018.04,1139830044,1229322800,0,0,4323721.32
WG27,288.2980073,0,11043.54724,8.646103868,115633477.8,1411303747,1524371139,0,0,5458183.686
WG26,288.2868597,0,11065.10951,35.04350547,136528046.4,1663607915,1797124837,0,0,6442070.205
WG25,288.3284992,0,11084.7227,57.67041404,155008301.7,1899285558,2050885414,0,0,7312774.04
WG24,288.2962213,0,11104.92683,77.89298048,170849542.1,2123820504,2290918826,0,0,8059990.12
WG23,288.1399625,0,11125.49433,96.32759521,184302530.6,2337249970,2517510932,0,0,8693300.571
WG22,288.4215739,0,11146.80471,113.4723641,196637007,2550740267,2743066551,0,0,9276004.458
WG21,287.9325813,0,11167.44266,129.4000124,207482003,2748529758,2951467242,0,0,9785878.279
WG20,287.9161952,0,11186.59777,144.30182,218496659,2959384114,3173096016,0,0,10305589.76
WG19,274.6034445,0,11172.62869,154.3028696,221844459,2925072922,3142124220,0,0,10403882.07
WG18,332.3961493,0,11511.04572,206.7776265,366988670.3,4781057088,5138644434,0,0,18635429.68
WG17,291.4992553,0,11252.89942,186.6741465,252110782.5,3701934061,3948527361,0,0,11890546
WG16,284.744135,0,11279.30089,200.5128722,256148125.6,3861720452,4112262270,0,0,12081784.27
WG15,288.3301755,0,11306.54123,214.1371911,270067838.8,4164502933,4428660088,0,0,12738298.51
WG14,288.282534,0,11334.54035,227.7297913,281897217.1,4426802466,4702531106,0,0,13295781.31
WG13,288.5038772,0,11362.64414,241.2183467,294743421.4,4702153852,4990449016,0,0,13900577.94
WG12,288.0515025,0,11388.37166,254.3920401,306905332.5,4960444401,5260634914,0,0,14474884.5
WG11,288.5304502,0,11406.79785,266.7883563,317867720.6,5204493567,5515408270,0,0,14990300.63
WG10,288.6469829,0,11419.22326,278.6437735,327519128.3,5418937892,5739293616,0,0,15444734.74
WG9,288.6466194,0,11426.76662,290.1538038,336809933.3,5614597621,5944040182,0,0,15883406.83
WG8,287.8683347,0,11427.57342,301.1632471,345453953.8,5772898677,6110798059,0,0,16289153.56
WG7,288.306546,0,11420.59082,311.7207122,355347404.8,5926330914,6273908174,0,0,16754542.77
WG6,287.5453936,0,11402.19074,321.6048723,362963355.6,6009651493,6364679168,0,0,17111686.3
WG5,288.0567439,0,11368.21657,330.5764411,371264146.6,6063910533,6427059187,0,0,17500447.03
WG4,288.8048123,0,11316.3284,338.8329007,378688728.8,6077481631,6447894040,0,0,17846890.63
WG3,286.3138246,0,11240.16813,346.261566,384311898,5979183719,6355099706,0,0,18105227.25
WG2,288.1938235,0,11116.41813,352.4756075,429179158.3,5923157811,6342974629,0,0,20191992.65
WG1,292.2359555,0,10107.41628,294.6347222,276163100.9,2255007316,2526149099,0,0,11358744.57
CTS10,213.9967903,3.93143E-10,10416.32142,-232.5338237,15311187.49,55470621.87,70215721,-7.31659E-06,-6.29219E-06,1000559.454
CTS9,214.0011046,1.79327E-12,10206.15197,-176.0965066,27397627.66,64191619.5,90931644.49,3.90691E-08,6.4673E-08,2680844.819
CTS8,214.0014612,-2.20157E-06,10095.64656,-133.8528742,35570770.31,67063061.05,101797196.7,0.304662525,0.034698396,3631443.933
CTS7,213.9781138,3.05977E-12,10047.20699,-91.78448509,39290374.65,70753965.87,109121866.7,7.35254E-08,-1.52938E-08,4058454.914
CTS6,214.0061725,6.98407E-13,10034.54266,-48.0566244,40422890.72,72355785.36,111824978.1,-9.74458E-08,-1.55856E-08,4197533.314
CTS5,213.9979207,-4.62647E-13,10034.06733,-3.333565832,40470621.1,72381497.19,111897152.9,2.2819E-07,5.53298E-10,4203213.973
CTS4,213.9979096,5.4429E-13,10033.77393,41.38906773,40501456.27,72379902.56,111925775.6,-1.99788E-07,-5.67619E-09,4206422.6
CTS3,213.9982954,-2.37031E-05,10022.34832,85.04894148,39595561.26,72726100.64,111399015.8,-2.213847807,-0.320651492,4077247.8
CTS2,214.0031762,0.000133645,9906.624349,122.4931615,32997682.08,79496899.9,111733040.5,45.98245194,4.507820814,3257152.092
CTS1,214.0190556,7.7574E-05,9706.840652,186.7738192,23046685.19,115481897,137367801.2,-74.54135418,-5.174533442,1737843.156
AFT10,112.9917867,0.006807453,13481.08843,-114.2588621,3247825.09,22203119.06,25157477.53,-26.39690313,-7.931035847,536554.5627
AFT9,112.9987114,0.000871593,13654.93654,-38.75051791,7280659.558,24135219.19,31201397.88,-15.25129843,-5.009808654,805279.3916
AFT8,112.9965137,0.001615052,13760.9956,9.88828065,11423597.33,24476536.39,35619613.83,86.69317519,5.205616591,1210332.186
AFT7,113.0309672,-0.213077947,13798.67359,45.51060291,12791054.11,25728564.72,38219218.02,6893.422802,3637.512241,1334360.807
AFT6,112.9716262,0.095259922,13809.60243,76.74153234,13042625.97,26827657.23,39567643.83,2186.247442,481.8925776,1357366.865
AFT5,113.0332988,-0.175140006,13815.48047,106.6352876,13172132.3,27552638.46,40420323.92,-4997.83229,291.6833807,1369698.673
AFT4,112.9943679,0.000241965,13818.07363,136.1126605,13290913.58,26567062.62,39551333.45,7.892910734,0.510922919,1380733.383
AFT3,112.9941868,-3.6215E-13,13817.12773,166.0835108,13290102.2,24735027.99,37717370.63,6.16847E-10,-1.17256E-09,1380334.038
AFT2,112.9944945,-1.30882E-14,13815.88068,197.1997877,13281980.49,22894964.46,35867934.26,-1.73784E-09,-1.37631E-10,1379355.603
AFT1,112.9940467,-6.28236E-13,13702.83182,225.9234342,11332739.02,32438482.64,43507512.55,1.24049E-07,-6.52554E-09,1010830.161
FWD10,160.9839897,0.009241469,8746.076344,-198.3377884,7715848.856,32193593.32,39568331.55,-173.6186892,169.6118335,244940.6204
FWD9,161.012246,0.010231182,8531.57136,-137.8328734,16803168.43,37089255.32,53476054.74,-1003.600358,124.7330717,1615300.191
FWD8,161.0082546,-0.008225093,8399.16018,-96.96554388,26113166.66,38342466.89,63853322.6,-329.6067327,-185.9599253,2637185.898
FWD7,161.0103206,0.010748606,8282.312985,-64.1990531,34572195.59,39604738.65,73405245.58,-472.5039298,98.45583557,3518470.675
FWD6,161.0024597,0.013006282,8142.76725,-37.82124494,41992243.29,42554642.79,83618602.1,-1081.521083,-131.2573054,4286325.227
FWD5,160.9883124,-0.032189403,7997.585419,-13.10224385,51135128.41,46085376.65,96093584.44,4134.139291,-114.4724678,5235376.586
FWD4,160.9935163,0.008669887,7878.333137,14.9874606,59214770.36,51173887.71,109068452.8,871.4064303,-159.3868744,6104779.275
FWD3,160.9945793,-0.000165704,7814.456898,52.88414328,64857870.63,59826165.34,123215319.3,-482.0295885,153.7889195,6715224.218
FWD2,161.0048838,-0.006139823,7863.341164,113.2426586,64082987.09,76958669.1,139450768.6,782.2814013,-32.35134504,6835125.807
FWD1,161.0014377,0.002345905,8261.799946,261.8403851,39317302.44,113486963.2,150140816.9,-454.4363205,-36.58289314,5881411.671
